,Denominacion_Generica_ES,Denominacion,Regimen,Codigo_postal,Localidad,long,lat
312,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP 8 DE ABRIL,Púb.,46184,SAN ANTONIO DE BENAGÉBER,-0.4988,39.557125
313,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP MAESTRO JUAN BERNIA,Púb.,46164,PEDRALBA,-0.725723,39.607802
314,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP BALADRE,Púb.,46210,PICANYA,-0.430413,39.433358
315,CENTRO PRIVADO DE EDUCACIÓN INFANTIL,CENTRE PRIV. ED. INFANTIL SANT CRISTÒFOR MÀRTIR II,Priv. Conc.,46220,PICASSENT,-0.460141,39.362801
316,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT SANT CRISTÒFOR MÀRTIR I,Priv. Conc.,46220,PICASSENT,-0.46237,39.363925
317,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP SANT IGNASI DE LOIOLA,Púb.,46220,PICASSENT,-0.465127,39.356509
318,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP MARE DE DÉU DE VALLIVANA,Púb.,46220,PICASSENT,-0.461705,39.365053
319,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP PRÍNCIPE DE ESPAÑA,Púb.,46220,PICASSENT,-0.455475,39.365218
320,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT AUSIÀS MARCH,Priv.,46220,PICASSENT,-0.485244,39.367342
321,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT LA NOSTRA ESCOLA COMARCAL,Priv. Conc.,46220,PICASSENT,-0.4825,39.396667
322,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP JOSÉ PEDRÓS,Púb.,46712,PILES,-0.13418,38.940756
323,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP EUGENIO MARTÍ SANCHIS,Púb.,46689,BENICULL DE XÚQUER,-0.384709,39.18604
324,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP L'ALCOCERA,Púb.,46688,POLINYÀ DE XÚQUER,-0.371658,39.196426
325,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP CERVANTES,Púb.,46139,LA POBLA DE FARNALS,-0.328168,39.579907
