,Denominacion_Generica_ES,Denominacion,Regimen,Codigo_postal,Localidad,long,lat
585,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT SAN FRANCISCO Y SANTO DOMINGO,Priv. Conc.,46191,VILAMARXANT,-0.621876,39.568671
586,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP HORTA MAJOR,Púb.,46191,VILAMARXANT,-0.623131,39.57102
587,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT SANTO DOMINGO,Priv. Conc.,46270,CASTELLÓ,-0.511819,39.07581
588,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT HERNÁNDEZ,Priv. Conc.,46270,CASTELLÓ,-0.514587,39.074718
589,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP SEVERÍ TORRES,Púb.,46270,CASTELLÓ,-0.516262,39.078299
590,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP FABIÁN Y FUERO,Púb.,46170,VILLAR DEL ARZOBISPO,-0.827268,39.735665
591,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES LA SERRANÍA,Púb.,46170,VILLAR DEL ARZOBISPO,-0.826364,39.736292
592,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT SANTA JOAQUINA DE VEDRUNA,Priv. Conc.,46114,VINALESA,-0.368702,39.537803
593,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP JOSÉ BLAT GIMENO,Púb.,46114,VINALESA,-0.370477,39.539118
594,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP PINTOR SOROLLA,Púb.,46367,YÁTOVA,-0.805775,39.384629
595,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT SANTA TERESA DE JESÚS,Priv. Conc.,46901,TORRENT - MONTE VEDAT,-0.483362,39.428234
596,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP JOAN FUSTER,Púb.,46940,MANISES,-0.45368,39.486605
597,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT ARGOS,Priv. Conc.,46015,VALÈNCIA,-0.399113,39.497525
598,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES FONT DE SANT LLUÍS,Púb.,46013,VALÈNCIA,-0.364069,39.454122
599,CENTRO PRIVADO FORMACIÓN PROFESIONAL ESPECÍFICA,CENTRE PRIVAT FP INS. INTER IV,Priv.,46007,VALÈNCIA,-0.38155,39.461818
600,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP JAIME I EL CONQUISTADOR,Púb.,46980,PATERNA,-0.43608,39.508896
601,CENTRO DOCENTE PRIVADO EXTRANJERO,CENTRE ESTRANGER LYCÉE FRANÇAIS DE VALENCE,Priv.,46980,PATERNA,-0.43518,39.518938
602,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP VILA D'ALAQUÀS,Púb.,46970,ALAQUÀS,-0.462244,39.457405
603,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP EL POUET-NUESTRA SEÑORA DE LOS DESAMPARADOS,Púb.,46100,BURJASSOT,-0.403463,39.504964
604,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP NICOLAU PRIMITIU GÓMEZ SERRANO,Púb.,46014,VALÈNCIA,-0.403366,39.45442
605,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP 9 D'OCTUBRE,Púb.,46018,VALÈNCIA,-0.398183,39.473931
606,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP TRULLÁS,Púb.,46450,BENIFAIÓ,-0.426407,39.278926
607,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP SAN ANTONIO DEL MAR,Púb.,46400,CULLERA,-0.245883,39.164923
608,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES LA PATACONA,Púb.,46120,ALBORAIA,-0.3265,39.493278
609,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP MAESTRO SERRANO,Púb.,46920,MISLATA,-0.420082,39.471999
610,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP LUIS VIVES,Púb.,46460,SILLA,-0.40901,39.361511
611,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP JOAN XXIII,Púb.,46730,GANDIA - GRAU I PLATJA,-0.161818,38.993101
612,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP JOSÉ MARÍA OLTRA,Púb.,46113,MONCADA,-0.394344,39.548877
613,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP ERES ALTES,Púb.,46190,RIBA-ROJA DE TÚRIA,-0.563827,39.547409
614,CENTRO PRIVADO DE EDUCACIÓN ESPECIAL,CEE PRIV. KOYNOS,Priv. Conc.,46110,GODELLA,-0.413575,39.523632
615,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP VICENTE BLASCO IBÁÑEZ,Púb.,46230,ALGINET,-0.471092,39.257263
616,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP PINEDO,Púb.,46012,VALÈNCIA - PINEDO,-0.335341,39.422116
617,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP VICENTE BLASCO IBÁÑEZ,Púb.,46960,ALDAIA,-0.460632,39.471931
618,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP PLATERO Y YO,Púb.,46960,ALDAIA,-0.458572,39.464381
619,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP CARME MIQUEL,Púb.,46680,ALGEMESÍ,-0.444539,39.193341
620,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP LLUÍS VIVES,Púb.,46200,PAIPORTA,-0.424397,39.428147
621,ESCUELA INFANTIL,EI APÓSTOL SANTIAGO,Púb.,46021,VALÈNCIA,-0.358257,39.469363
622,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP CAMPANAR,Púb.,46015,VALÈNCIA,-0.395875,39.482592
623,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP SANTA MARÍA DE AGUAS VIVAS,Púb.,46792,ALZIRA - LA BARRACA D'AIGUES VIVES,-0.370252,39.099202
624,ESCUELA INFANTIL,EI NIÑO JESÚS,Púb.,46015,VALÈNCIA,-0.401655,39.489859
625,CENTRO PRIVADO DE EDUCACIÓN ESPECIAL,CEE PRIV. FRANCISCO ESTEVE,Priv. Conc.,46980,PATERNA,-0.442908,39.498949
626,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES EL GRAO,Púb.,46011,VALÈNCIA,-0.332175,39.462016
627,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP NUESTRA SEÑORA DEL AMPARO,Púb.,46727,EL REAL DE GANDIA,-0.210371,38.945292
628,CENTRO PRIVADO DE EDUCACIÓN INFANTIL,CENTRE PRIV. ED. INFANTIL SAN PATRICIO,Priv. Conc.,46117,BÉTERA,-0.471404,39.582366
629,CENTRO PRIVADO DE EDUCACIÓN INFANTIL DE PRIMER CICLO,CENTRE PRIV. ED. INF. 1er CICLE EL TREN,Priv.,46009,VALÈNCIA,-0.375128,39.486848
630,ESCUELA INFANTIL,EI LA MILOTXA,Púb.,46530,PUÇOL,-0.309505,39.61764
631,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP COFRENTES,Púb.,46625,COFRENTES,-1.065088,39.227483
632,CENTRO PRIVADO FORMACIÓN PROFESIONAL ESPECÍFICA,CENTRE PRIVAT FP ALTAVIANA,Priv. Conc.,46010,VALÈNCIA,-0.356183,39.477622
633,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP JAUME I,Púb.,46530,PUÇOL,-0.312831,39.615954
634,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP PINTOR TEODORO ANDREU,Púb.,46600,ALZIRA,-0.424604,39.154666
635,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP LA FILA,Púb.,46910,ALFAFAR,-0.388373,39.418094
636,CENTRO INTEGRADO PÚBLICO DE FORMACIÓN PROFESIONAL,CIPFP FAITANAR,Púb.,46930,QUART DE POBLET,-0.433295,39.479483
637,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP REI EN JAUME,Púb.,46950,XIRIVELLA,-0.430039,39.468808
638,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES TIRANT LO BLANC,Púb.,46701,GANDIA,-0.180373,38.979512
639,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP EL CRIST,Púb.,46133,MELIANA,-0.341864,39.527216
640,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP EL CID,Púb.,46920,MISLATA,-0.420753,39.471136
641,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP DOCTOR VICENTE TRENCO,Púb.,46113,MONCADA,-0.403737,39.544559
642,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP BONAVISTA,Púb.,46870,ONTINYENT,-0.614972,38.827389
643,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP JAUME I,Púb.,46200,PAIPORTA,-0.415591,39.419403
644,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP AUSIÀS MARCH,Púb.,46210,PICANYA,-0.439929,39.435808
645,ESCUELA INFANTIL DE PRIMER CICLO,EI 1er CICLE EL BALADRE,Púb.,46520,SAGUNT - EL PUERTO SAGUNTO,-0.238781,39.670843
646,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP VICTORIA Y JOAQUIN RODRIGO,Púb.,46520,SAGUNT - EL PUERTO SAGUNTO,-0.236131,39.664806
647,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP REIS CATÒLICS,Púb.,46460,SILLA,-0.40849,39.367545
648,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP ALFÀNDEC,Púb.,46760,TAVERNES DE LA VALLDIGNA,-0.262264,39.070063
649,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP LLUÍS DE SANTÀNGEL,Púb.,46012,VALÈNCIA - EL SALER,-0.330837,39.38222
650,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES DISTRICTE MARÍTIM,Púb.,46023,VALÈNCIA,-0.344256,39.459672
651,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES CAMPANAR,Púb.,46015,VALÈNCIA,-0.39858,39.48132
652,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES VICENTE GANDIA,Púb.,46270,CASTELLÓ,-0.510867,39.073459
653,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES FERNANDO III,Púb.,46620,AYORA,-1.054536,39.054605
654,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP ANGELINA CARNICER,Púb.,46021,VALÈNCIA,-0.351359,39.469438
655,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP RAFAEL MATEU CÁMARA,Púb.,46006,VALÈNCIA,-0.379055,39.454727
656,CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA,CENTRE PRIVAT CONCHA ESPINA II,Priv. Conc.,46007,VALÈNCIA,-0.38502,39.453497
657,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP TOMÁS DE VILLARROYA,Púb.,46017,VALÈNCIA,-0.393404,39.449328
658,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP PARE CATALÀ,Púb.,46020,VALÈNCIA,-0.355382,39.484319
659,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP AUSIÀS MARCH,Púb.,46120,ALBORAIA,-0.353923,39.498892
660,ESCUELA INFANTIL,EI MARÍA TERESA COLOMA,Púb.,46800,XÀTIVA,-0.51537,38.993309
661,CENTRO PRIVADO FORMACIÓN PROFESIONAL ESPECÍFICA,"CENTRE PRIVAT FP DANIEL MATALLÍN, SL",Priv.,46008,VALÈNCIA,-0.38487,39.471421
662,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES SALVADOR GADEA,Púb.,46960,ALDAIA,-0.470327,39.459581
663,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP ANTONIO GARCÍA LÓPEZ,Púb.,46022,VALÈNCIA,-0.345694,39.468286
664,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT VIRGEN AL PIE DE LA CRUZ,Priv. Conc.,46530,PUÇOL,-0.312606,39.619421
665,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP FERNANDO DE LOS RIOS,Púb.,46006,VALÈNCIA,-0.376185,39.453287
666,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP MAESTRO SANCHIS ALMIÑANO,Púb.,46970,ALAQUÀS,-0.462327,39.45273
667,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP MARIANO BENLLIURE,Púb.,46960,ALDAIA,-0.468732,39.461561
668,ESCUELA INFANTIL,EI RABISANCHO,Púb.,46910,ALFAFAR,-0.400062,39.41574
669,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP LAS HIGUERILLAS,Púb.,46340,REQUENA,-1.095597,39.490554
670,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP AUSIÀS MARCH,Púb.,46500,SAGUNT,-0.276096,39.684931
671,CENTRO DE EDUCACIÓN ESPECIAL,CEE PÚB. PROFESOR SEBASTIÁN BURGOS,Púb.,46017,VALÈNCIA,-0.387492,39.439623
672,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES ENRIC SOLER I GODES,Púb.,46450,BENIFAIÓ,-0.42425,39.292445
673,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES LA MORERIA,Púb.,46920,MISLATA,-0.422463,39.478291
674,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES LA VALLDIGNA,Púb.,46760,TAVERNES DE LA VALLDIGNA,-0.277314,39.070167
675,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES LA MARXADELLA,Púb.,46900,TORRENT,-0.476793,39.427311
676,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP RAFAEL ALTAMIRA,Púb.,46014,VALÈNCIA,-0.413479,39.467607
677,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT NUESTRA SEÑORA DEL ROSARIO,Priv. Conc.,46980,PATERNA,-0.437372,39.525929
678,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES GONZALO ANAYA,Púb.,46950,XIRIVELLA,-0.434754,39.46155
679,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP PROFESOR BARTOLOMÉ COSSIO,Púb.,46019,VALÈNCIA,-0.373278,39.492583
680,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP BATALLAR,Púb.,46250,L'ALCÚDIA,-0.508375,39.198825
681,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP HERETATS,Púb.,46250,L'ALCÚDIA,-0.512537,39.195112
682,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP FERNANDO DE LOS RÍOS,Púb.,46100,BURJASSOT,-0.421128,39.513688
683,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP LA CONSTITUCIÓN,Púb.,46930,QUART DE POBLET,-0.434523,39.479864
684,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP VICENTE BLASCO IBÁÑEZ,Púb.,46380,CHESTE,-0.682794,39.497078
685,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP FRANCISCO MARTÍNEZ CULLA,Púb.,46370,CHIVA,-0.722458,39.475103
686,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP JUAN MANUEL MONTOYA,Púb.,46024,VALÈNCIA,-0.33474,39.444678
687,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP VILAMAR,Púb.,46520,SAGUNT - EL PUERTO SAGUNTO,-0.215006,39.666524
688,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP MIGUEL HERNÁNDEZ,Púb.,46900,TORRENT,-0.478324,39.431345
689,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP FRANCISCO GINER DE LOS RÍOS,Púb.,46015,VALÈNCIA,-0.401355,39.47661
690,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP AUSIÀS MARCH,Púb.,46980,PATERNA,-0.437617,39.506921
691,CENTRO DOCENTE PRIVADO EXTRANJERO,"CENTRE ESTRANGER HISPANO-NORTEAMERICANO, SA",Priv.,46530,PUÇOL,-0.334139,39.634993
692,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT SAN VICENTE FERRER,Priv. Conc.,46400,CULLERA,-0.253116,39.159164
693,CENTRO PRIVADO DE EDUCACIÓN ESPECIAL,CEE PRIV. EL MOLÍ,Priv. Conc.,46015,VALÈNCIA,-0.399452,39.485669
694,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT VILAVELLA,Priv. Conc.,46009,VALÈNCIA,-0.392761,39.47916
695,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT ESCOLA GAVINA,Priv. Conc.,46210,PICANYA,-0.443533,39.44464
696,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES 25 D'ABRIL,Púb.,46910,ALFAFAR,-0.396184,39.417886
697,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP SANCHIS GUARNER,Púb.,46980,PATERNA,-0.453594,39.507228
698,CENTRO PRIVADO DE EDUCACIÓN SECUNDARIA,CENTRE PRIVAT MARTÍ SOROLLA II,Priv. Conc.,46006,VALÈNCIA,-0.377353,39.454087
699,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP COVALTA,Púb.,46860,ALBAIDA,-0.512881,38.835713
700,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP ANTONIO MACHADO,Púb.,46950,XIRIVELLA,-0.431058,39.466539
701,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP MAS DE ESCOTO,Púb.,46190,RIBA-ROJA DE TÚRIA,-0.581712,39.550346
702,COLEGIO DE EDUCACIÓN PRIMARIA,CEP REI EN JAUME,Púb.,46016,TAVERNES BLANQUES,-0.362376,39.503246
703,CENTRO AUTOR. DE ENSEÑANZAS ARTÍSTICAS PROFESIONALES DE ARTES PLÁSTICAS Y DISEÑO,CENTRE ENS. ARTIST. PROFESSIONALS  BARREIRA ARTE Y DISEÑO,Priv.,46008,VALÈNCIA,-0.389411,39.47549
704,CENTRO AUTORIZADO DE ENSEÑANZAS ARTÍSTICAS PROFESIONALES DE MÚSICA,CENTRE ENS. PROFESSIONALS DE MÚSICA J. BAUTISTA CABANILLES,Priv.,46680,ALGEMESÍ,-0.433359,39.189974
705,CONSERVATORIO PROFESIONAL DE MÚSICA,CONSERVATORI PROFESSIONAL DE MÚSICA MESTRE VERT,Púb.,46740,CARCAIXENT,-0.453143,39.122794
706,CONSERVATORIO PROFESIONAL DE MÚSICA,CONSERVATORI PROFESSIONAL DE MÚSICA LUIS MILÁN,Púb.,46800,XÀTIVA,-0.521316,38.986601
707,CENTRO AUTORIZADO DE ENSEÑANZAS ARTÍSTICAS PROFESIONALES DE MÚSICA,CENTRE ENS. PROFESSIONALS DE MÚSICA INSTITUTO MUSICAL GINER,Priv.,46008,VALÈNCIA,-0.383988,39.471377
708,CENTRO AUTORIZADO DE ENSEÑANZAS ARTÍSTICAS PROFESIONALES DE DANZA,CENTRE ENS. PROFESSIONALS DE DANSA MARI CRUZ ALCALÁ,Priv.,46010,VALÈNCIA,-0.358743,39.472208
709,CONSERVATORIO PROFESIONAL DE MÚSICA,CONSERVATORI PROFESSIONAL DE MÚSICA JOSÉ ITURBI,Púb.,46023,VALÈNCIA,-0.352271,39.461826
710,ESCUELA SUPERIOR DE ARTE DRAMÁTICO,ESCOLA SUPERIOR D'ART DRAMÀTIC,Púb.,46022,VALÈNCIA,-0.346831,39.48374
711,CENTRO PRIVADO FORMACIÓN PROFESIONAL ESPECÍFICA,CENTRE PRIVAT FP ENSEÑANZAS PROFESIONALES SOROLLA,Priv. Conc.,46006,VALÈNCIA,-0.376389,39.45693
712,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT LES CAROLINES,Priv. Conc.,46220,PICASSENT,-0.488127,39.386619
713,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES EL CLOT,Púb.,46009,VALÈNCIA,-0.379299,39.489337
714,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES JAUME I,Púb.,46870,ONTINYENT,-0.597746,38.821989
715,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP VICENTE GAOS,Púb.,46021,VALÈNCIA,-0.348837,39.47757
716,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP CARLES SALVADOR,Púb.,46020,VALÈNCIA,-0.363386,39.487667
717,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP ANTONIO MACHADO,Púb.,46019,VALÈNCIA,-0.374265,39.498006
718,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP PROFESOR LUIS BRAILLE,Púb.,46009,VALÈNCIA,-0.380048,39.489908
719,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT LA MASIA,Priv. Conc.,46136,MUSEROS,-0.345495,39.560955
720,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT SANTA MARÍA DEL PUIG,Priv.,46540,EL PUIG DE SANTA MARIA,-0.302714,39.58736
721,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT COMENIUS CENTRE EDUCATIU,Priv. Conc.,46009,VALÈNCIA,-0.383827,39.488637
722,CENTRO AUTORIZADO DE ENSEÑANZAS ARTÍSTICAS PROFESIONALES DE DANZA,CENTRE ENS. PROFESSIONALS DE DANSA VALENCIÀ,Priv.,46008,VALÈNCIA,-0.387688,39.471728
723,CENTRO PRIVADO FORMACIÓN PROFESIONAL ESPECÍFICA,CENTRE PRIVAT FP FORD ESPAÑA,Priv.,46440,ALMUSSAFES,-0.415255,39.323173
724,CENTRO PRIVADO FORMACIÓN PROFESIONAL ESPECÍFICA,"CENTRE PRIVAT FP FLORIDA, CENTRE E.SECUNDARI-TÈCNIC PROF.",Priv. Conc.,46470,CATARROJA,-0.412234,39.402551
725,ESCUELA PRIVADA DE MÚSICA,ESCOLA PRIVADA DE MÚSICA BANDA PRIMITIVA,Priv.,46160,LLÍRIA,-0.597221,39.627598
726,CONSERVATORIO PROFESIONAL DE MÚSICA,CONSERVATORIO PROFESIONAL DE MÚSICA SAN RAFAEL,Púb.,46360,BUÑOL,-0.786837,39.425979
727,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP SAN CARLOS BORROMEO,Púb.,46470,ALBAL,-0.407739,39.399079
728,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP MAESTRO EMILIO LUNA,Púb.,46230,ALGINET,-0.470073,39.256947
729,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP BENIPEIXCAR,Púb.,46702,GANDIA,-0.188865,38.962921
730,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP AUSIÀS MARCH,Púb.,46920,MISLATA,-0.4156,39.478546
731,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP LA PINAETA,Púb.,46520,SAGUNT - EL PUERTO SAGUNTO,-0.237719,39.670108
732,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP ANTONIO MACHADO,Púb.,46900,TORRENT,-0.478281,39.432323
733,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP EL MOLÍ,Púb.,46900,TORRENT,-0.457993,39.438811
734,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP PABLO NERUDA,Púb.,46026,VALÈNCIA,-0.3752,39.451
735,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP PROFESSOR RAMIRO JOVER,Púb.,46017,VALÈNCIA,-0.394033,39.443335
736,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP LA COMA,Púb.,46980,PATERNA,-0.432469,39.524001
737,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES VICENT ANDRÉS ESTELLÉS,Púb.,46100,BURJASSOT,-0.421351,39.511137
738,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES FEDERICA MONTSENY,Púb.,46100,BURJASSOT,-0.422083,39.510216
739,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES PERE BOÏL,Púb.,46940,MANISES,-0.470671,39.498794
740,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP MEDITERRÁNEO,Púb.,46520,SAGUNT - EL PUERTO SAGUNTO,-0.222065,39.662217
741,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP MANUEL SANCHIS GUARNER,Púb.,46850,L'OLLERIA,-0.545561,38.915379
742,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP ELISEO VIDAL,Púb.,46014,VALÈNCIA,-0.398189,39.457651
743,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP EXPLORADOR ANDRÉS,Púb.,46022,VALÈNCIA,-0.34431,39.470158
744,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP VICENTE PLA PAREDES,Púb.,46910,SEDAVÍ,-0.38052,39.42687
745,CENTRO PÚBLICO DE FORMACIÓN DE PERSONAS ADULTAS,CENTRE PÚBLIC FPA,Púb.,46920,MISLATA,-0.414645,39.474786
746,CENTRO PÚBLICO DE FORMACIÓN DE PERSONAS ADULTAS,CENTRE PÚBLIC FPA,Púb.,46900,TORRENT,-0.464595,39.434803
747,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES LA SÈNIA,Púb.,46200,PAIPORTA,-0.415603,39.423091
748,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES RAMON LLULL,Púb.,46021,VALÈNCIA,-0.346284,39.47637
749,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT LOS NARANJOS,Priv.,46702,GANDIA,-0.199363,38.970912
750,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP TIRANT LO BLANC,Púb.,46600,ALZIRA,-0.434629,39.157777
751,CENTRO DE EDUCACIÓN ESPECIAL,CEE PÚB. PLA DE LA MESQUITA,Púb.,46800,XÀTIVA,-0.502828,38.990687
